Объект;Адрес;Местонахождение и Описание;№ Акта;Дата;№ Акта;Дата;ЗиП;Примечание;;;;;;;;;;;;;;;;;;
Спальный корпус;1.1.54;ИПД-РК с адресом 1.1.54 № 1018 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;2.2.10;ИПД-РК с адресом 2.2.10 № 1026 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;2.2.111;ИПД-РК с адресом 2.2.111 № 1028 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;3.1.107;ИПД-РК с адресом 3.1.107 № 1031 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;3.1.121;ИПД-РК с адресом 3.1.121 № 1032 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;4.2.20;ИПД-РК с адресом 4.2.20 № 1039 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;4.2.23;ИПД-РК с адресом 4.2.23 10 этаж 2 секция - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.1.81;ИПД-РК с адресом 5.1.81 № 1041 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Корпус Ресторанов;100.1.2;ПОС, КАУ-2 №2 КЗ АЛС №1. Заменили на Рубеж-2ОП;ДА№1090;14.10.2022;АВР№1091;14.10.2022;Рубеж-2ОП - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Прачечная;1.3;ИПР в цеху стирки - сбит тележкой;ДА№1100;19.10.2022;АВР№1101;19.10.2022;ИПР513-11 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Прачечная;1.8;ИПР в цеху стирки - сбит тележкой;ДА№1100;19.10.2022;АВР№1101;19.10.2022;ИПР513-11 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;32.1.138;Столярка, ИП-64 - потеря связи, окистение платы из-за сильной влажности;ДА№1109;24.10.2022;АВР№1110;24.10.2022;ИП212-64 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.1.83;ИПД-РК с адресом 5.1.83 № 1041 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Корпус Ресторанов;31.2.2;Кухня Хрустального, ИП-29 - сильно окислен от конденсата, не читается;ДА№1119;31.10.2022;АВР№1120;31.10.2022;ИП101-29-PR - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;32.1.48;Коридор под бассейном, ИП-64 - потеря связи, окистение платы из-за сильной влажности;ДА№1126;31.10.2022;АВР№1127;31.10.2022;ИП212-64 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;32.1.33;Коридор под бассейном, ИП-64 - потеря связи, окистение платы из-за сильной влажности;ДА№201;24.04.2023;АВР№202;24.04.2023;ИП212-64 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.1.82;ИПД-РК с адресом 5.1.82 № 1043 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.1.84;ИПД-РК с адресом 5.1.84 № 1043 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.1.87;ИПД-РК с адресом 5.1.87 № 1044 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.113;ИПД-РК с адресом 5.2.113 № 1047 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;2.5.122;ИПД-РК с адресом 2.5.122 № 1048 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.123;ИПД-РК с адресом 5.2.123 № 1048 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.110;ИПД-РК с адресом 5.2.110 № 1049 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.114;ИПД-РК с адресом 5.2.114 № 1049 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.124;ИПД-РК с адресом 5.2.124 № 1050 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.111;ИПД-РК с адресом 5.2.111 № 1051 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.121;ИПД-РК с адресом 5.2.121 № 1052 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.1.116;ИПД-РК с адресом 6.1.116 10 этаж 3 секция - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.1.109;ИПД-РК с адресом 6.1.109 № 1055 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.1.115;ИПД-РК с адресом 6.1.115 № 1059 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.159;ИПД-РК с адресом 6.2.159 № 1061 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.165;ИПД-РК с адресом 6.2.165 10 этаж 3 секция, лифтовой холл - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.168;ИПД-РК с адресом 6.2.168 № 1066 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.172;ИПД-РК с адресом 6.2.172 № 1066 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.1.147;ИПД-РК с адресом 7.1.147 10 этаж 3 секция - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.1.140;ИПД-РК с адресом 7.1.140 № 1071 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.1.152;ИПД-РК с адресом 7.1.152 № 1076 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.116;ИПД-РК с адресом 7.2.116 № 1077 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.125;ИПД-РК с адресом 7.2.125 № 1084 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.127;ИПД-РК с адресом 8.1.127 № 1085 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.135;ИПД-РК с адресом 8.1.135 № 1086 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.137;ИПД-РК с адресом 8.1.137 № 1086 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.138;ИПД-РК с адресом 8.1.138 № 1086 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.133;ИПД-РК с адресом 8.1.133 № 1087 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;12.2.2;ИПД-РК с адресом 12.2.2 № 1089 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;12.2.11;ИПД-РК с адресом 12.2.11 № 1090 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;12.2.12;ИПД-РК с адресом 12.2.12 № 1090 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;9.1.112;ИПД-РК с адресом 9.1.112 № 1092 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.2.88;ИПД-РК с адресом 1.2.88 № 1101 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.2.89;ИПД-РК с адресом 1.2.89 № 1103 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.2.93;ИПД-РК с адресом 1.2.93 № 1103 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.2.103;ИПД-РК с адресом 1.2.103 № 1104 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.2.99;ИПД-РК с адресом 1.2.99 № 1104 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.2.91;ИПД-РК с адресом 1.2.91 № 1107 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.2.101;ИПД-РК с адресом 1.2.101 № 1108 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.2.105;ИПД-РК с адресом 1.2.105 № 1108 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.2.97;ИПД-РК с адресом 1.2.97 № 1108 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;2.1.181;ИПД-РК с адресом 2.1.181 № 1109 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;2.1.188;ИПД-РК с адресом 2.1.188 № 1110 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;2.1.182;ИПД-РК с адресом 2.1.182 № 1111 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;2.1.184;ИПД-РК с адресом 2.1.184 № 1112 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;2.1.189;ИПД-РК с адресом 2.1.189 № 1112 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.1.38;ИПД-РК с адресом 1.1.38 № 1116 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.1.39;ИПД-РК с адресом 1.1.39 № 1118 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.1.42;ИПД-РК с адресом 1.1.42 № 1118 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.1.40;ИПД-РК с адресом 1.1.40 № 1120 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.1.43;ИПД-РК с адресом 1.1.43 № 1120 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;2.2.92;ИПД-РК с адресом 2.2.92 № 1122 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.2.95;ИПД-РК с адресом 1.2.95 № 1128 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;2.2.91;ИПД-РК с адресом 2.2.91 № 1128 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;3.1.84;ИПД-РК с адресом 3.1.84 № 1129 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;3.1.94;ИПД-РК с адресом 3.1.94 № 1130 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;3.1.95;ИПД-РК с адресом 3.1.95 № 1132 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;3.1.99;ИПД-РК с адресом 3.1.99 № 1132 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;3.1.91;ИПД-РК с адресом 3.1.91 № 1135 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;4.2.2;ИПД-РК с адресом 4.2.2 № 1137 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;4.2.4;ИПД-РК с адресом 4.2.4 № 1137 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;4.2.5;ИПД-РК с адресом 4.2.5 № 1139 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.1.65;ИПД-РК с адресом 5.1.65 № 1143 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.86;ИПД-РК с адресом 5.2.86 № 1145 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.96;ИПД-РК с адресом 5.2.96 № 1146 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.87;ИПД-РК с адресом 5.2.87 № 1147 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.91;ИПД-РК с адресом 5.2.91 № 1147 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;5.2.89;ИПД-РК с адресом 5.2.89 № 1151 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.1.86;ИПД-РК с адресом 6.1.86 № 1153 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.1.90;ИПД-РК с адресом 6.1.90 № 1153 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.1.87;ИПД-РК с адресом 6.1.87 № 1155 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.1.91;ИПД-РК с адресом 6.1.91 № 1155 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.1.89;ИПД-РК с адресом 6.1.89 № 1159 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.1.93;ИПД-РК с адресом 6.1.93 № 1159 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.141;ИПД-РК с адресом 6.2.141 № 1161 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.143;ИПД-РК с адресом 6.2.143 № 1164 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.144;ИПД-РК с адресом 6.2.144 № 1166 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.1.111;ИПД-РК с адресом 7.1.111 № 1169 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.1.113;ИПД-РК с адресом 7.1.113 № 1173 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.1.114;ИПД-РК с адресом 7.1.114 № 1173 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.1.124;ИПД-РК с адресом 7.1.124 № 1174 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.94;ИПД-РК с адресом 7.2.94 № 1177 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.100;ИПД-РК с адресом 7.2.100 № 1178 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.104;ИПД-РК с адресом 7.2.104 № 1178 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.101;ИПД-РК с адресом 7.2.101 № 1180 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.105;ИПД-РК с адресом 7.2.105 № 1180 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.102;ИПД-РК с адресом 8.1.102 № 1185 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.103;ИПД-РК с адресом 8.1.103 № 1185 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.115;ИПД-РК с адресом 8.1.115 № 1188 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.156;ИПД-РК с адресом 21.1.156 № 1189 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.157;ИПД-РК с адресом 21.1.157 № 1189 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.159;ИПД-РК с адресом 21.1.159 № 1189 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.162;ИПД-РК с адресом 21.1.162 № 1190 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.163;ИПД-РК с адресом 21.1.163 № 1190 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.164;ИПД-РК с адресом 21.1.164 № 1190 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;1.1.42;ИПД-РК с адресом 1.1.42 № 1193 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.1.102;ИПР-РК с адресом 7.1.102 12 этаж, 1 секция - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.129;ИПД-РК с адресом 6.2.129 12 этаж 3 секция, лифтовый холл - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.131;ИПД-РК с адресом 6.2.131 № 1266 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.133;ИПД-РК с адресом 6.2.133 № 1266 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.132;ИПД-РК с адресом 6.2.132 № 1268 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.1.84;ИПД-РК с адресом 7.1.84 № 1269 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.1.89;ИПД-РК с адресом 7.1.89 № 1269 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.69;ИПД-РК с адресом 7.2.69 № 1279 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.73;ИПД-РК с адресом 7.2.73 № 1279 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.74;ИПД-РК с адресом 7.2.74 № 1281 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.81;ИПД-РК с адресом 7.2.81 № 1282 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;7.2.85;ИПД-РК с адресом 7.2.85 № 1282 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.78;ИПД-РК с адресом 8.1.78 № 1285 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.88;ИПД-РК с адресом 8.1.88 № 1286 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.131;ИПД-РК с адресом 21.1.131 № 1289 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.132;ИПД-РК с адресом 21.1.132 № 1289 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.133;ИПД-РК с адресом 21.1.133 № 1289 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.134;ИПД-РК с адресом 21.1.134 № 1289 - неисправность питания;АО№1153;15.11.2022;АВР№1154;15.11.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
