Объект;Адрес;Местонахождение и Описание;№ Акта;Дата;№ Акта;Дата;ЗиП;Примечание;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"1эт. Зону ПО 148 ""Коридор 2(1)"" переименовать в ""Коридор, вход в диспетчерскую""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;Подвал ресторанов, хамам. ИП64 13.1.166 перенести между 13.1.145 и 146 (перед дверью), ИП64 13.1.165 перенести между 13.1.174 и 168. Изменить им зону ПО на 40018.;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;Подвал ресторанов, хамам. Убрать из конфигурации 2 ИП64: 13.1.146 и 174 (демонтированы за ненадобностью).;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;15.1.98;ИП-64 15.1.98 - коридор камеры хранения - изменить адрес на .157-247 и перезавести в систему - глючит;;23.08.2022;на выполнение;внести измение в проект;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;15.1.134;ИП-64 15.1.134 - бюро пропусков - изменить адрес на .157-247 и перезавести в систему - глючит;;23.08.2022;на выполнение;внести измение в проект;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;32.1.164-165;РМ-4К 32.1.164 и 165 (подвал бассейна) - запрещено управление, разрешить;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;изменить название зоны ПО;167. Коридор 2 (1) - между диспетчерами и камерой хранения, центр холл -> ;Коридор камеры хранения;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;изменить название зоны ПО;40106. Цоколь рест коридор - коридор цокольного этажа корпуса ресторанов -> ;Коридор, цоколь корп ресторанов;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;31.2.229;добавить в конфигурацию ИЗ-1, дать свободный адрес, например 31.2.229. На визуализации указать в ресторане Хрустальный, левее ИПР 31.2.109 над ИП-29 31.2.223.;;23.08.2022;на выполнение;адресовать ИЗ-1;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;31.2.230;добавить в конфигурацию ИЗ-1, дать свободный адрес, например 31.2.230. На визуализации указать в ресторане Хрустальный, под ИП-29 31.2.108.;;29.09.2022;на выполнение;адресовать ИЗ-1;;;;;;;;;;;;;;;;;;;;
